Id,Actor,TextEn,TextZh,TextPn,Url,Topic,Subtopic,Version,Audio url
basicenglishspeaking_a_museum_1,A,What type of museum is popular in your country?,,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,B,"There are many types of museums, but the most popular are historical museums.",,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,A,What is the most famous museum in your country?,,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,B,"That would be The British Museum, located in London.",,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,A,What’s special about it?,,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,B,"I’m impressed by its large amount of historical, art, and cultural work.",,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,A,How many times have you visited that museum?,,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,B,I have visited the museum twice.,,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,A,What do you usually do when visiting a museum?,,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,B,I usually listen to the tour guide and take notes about important information.,,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,A,Are you allowed to take pictures there?,,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,B,"No, the guards did not allow us to bring the camera in.",,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,A,How did you feel after visiting there?,,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,B,"The overall experience was fantastic, and I learned so many things in just a few hours.",,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,A,What do you think is the importance of museums in history?,,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_a_museum_1,B,"Museums are an integral part of any country’s history, and they keep history alive.",,,https://basicenglishspeaking.com/a-museum/,A museum,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-14.mp3?_=1
basicenglishspeaking_newspaper_magazine_1,A,What are the benefits of reading a newspaper/magazine?,,,https://basicenglishspeaking.com/newspaper-magazine/,Newspaper/ Magazine,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-11.mp3?_=1
basicenglishspeaking_newspaper_magazine_1,B,Newspapers/magazines can broaden your mind about thousands of things without the need to travel.,,,https://basicenglishspeaking.com/newspaper-magazine/,Newspaper/ Magazine,,1,https://basicenglishspeaking.com/wp-content/uploads/audio/QA/QA-11.mp3?_=1
