Id,Actor,TextEn,TextZh,TextPn,Url,Topic,Subtopic,Version,Audio url
audiorazgovornik_todd_usa_gloria_usa_1,Todd:,"Gloria, what are your plans for the summer?",,,http://audiorazgovornik.ru/anglijskaya-rech-audio/dialogi-na-anglijskom-yazyke/1777--plans-for-thailand,Todd (USA) - Gloria (USA),,1,http://audiorazgovornik.ru/images/mp3/288thailand.mp3
audiorazgovornik_todd_usa_gloria_usa_1,Gloria:,I'm going to Thailand for two weeks and then I'm going to England for three weeks and then back to the US.,,,http://audiorazgovornik.ru/anglijskaya-rech-audio/dialogi-na-anglijskom-yazyke/1777--plans-for-thailand,Todd (USA) - Gloria (USA),,1,http://audiorazgovornik.ru/images/mp3/288thailand.mp3
audiorazgovornik_todd_usa_gloria_usa_1,Todd:,"OK, wait, Thailand, you're going to Thailand?",,,http://audiorazgovornik.ru/anglijskaya-rech-audio/dialogi-na-anglijskom-yazyke/1777--plans-for-thailand,Todd (USA) - Gloria (USA),,1,http://audiorazgovornik.ru/images/mp3/288thailand.mp3
audiorazgovornik_todd_usa_gloria_usa_1,Gloria:,Yes.,,,http://audiorazgovornik.ru/anglijskaya-rech-audio/dialogi-na-anglijskom-yazyke/1777--plans-for-thailand,Todd (USA) - Gloria (USA),,1,http://audiorazgovornik.ru/images/mp3/288thailand.mp3
audiorazgovornik_todd_usa_gloria_usa_1,Todd:,"OK, what are the plans for Thailand?",,,http://audiorazgovornik.ru/anglijskaya-rech-audio/dialogi-na-anglijskom-yazyke/1777--plans-for-thailand,Todd (USA) - Gloria (USA),,1,http://audiorazgovornik.ru/images/mp3/288thailand.mp3
audiorazgovornik_todd_usa_gloria_usa_1,Gloria:,"I'm  going with a friend of mine, Adrienne and we're going to go to the Bridge over the River Kwai and then we're going to go to the beaches and I hope to take a scuba diving course.",,,http://audiorazgovornik.ru/anglijskaya-rech-audio/dialogi-na-anglijskom-yazyke/1777--plans-for-thailand,Todd (USA) - Gloria (USA),,1,http://audiorazgovornik.ru/images/mp3/288thailand.mp3
audiorazgovornik_todd_usa_gloria_usa_1,Todd:,"OK, so you've never been scuba diving before.",,,http://audiorazgovornik.ru/anglijskaya-rech-audio/dialogi-na-anglijskom-yazyke/1777--plans-for-thailand,Todd (USA) - Gloria (USA),,1,http://audiorazgovornik.ru/images/mp3/288thailand.mp3
audiorazgovornik_todd_usa_gloria_usa_1,Gloria:,"No, I've only been snorkeling.",,,http://audiorazgovornik.ru/anglijskaya-rech-audio/dialogi-na-anglijskom-yazyke/1777--plans-for-thailand,Todd (USA) - Gloria (USA),,1,http://audiorazgovornik.ru/images/mp3/288thailand.mp3
audiorazgovornik_todd_usa_gloria_usa_1,Todd:,"Oh, actually, you know what, I ",,,http://audiorazgovornik.ru/anglijskaya-rech-audio/dialogi-na-anglijskom-yazyke/1777--plans-for-thailand,Todd (USA) - Gloria (USA),,1,http://audiorazgovornik.ru/images/mp3/288thailand.mp3
audiorazgovornik_todd_usa_gloria_usa_1,Gloria:,"Ah, that's where I'm going.",,,http://audiorazgovornik.ru/anglijskaya-rech-audio/dialogi-na-anglijskom-yazyke/1777--plans-for-thailand,Todd (USA) - Gloria (USA),,1,http://audiorazgovornik.ru/images/mp3/288thailand.mp3
audiorazgovornik_todd_usa_gloria_usa_1,Todd:,Really!,,,http://audiorazgovornik.ru/anglijskaya-rech-audio/dialogi-na-anglijskom-yazyke/1777--plans-for-thailand,Todd (USA) - Gloria (USA),,1,http://audiorazgovornik.ru/images/mp3/288thailand.mp3
audiorazgovornik_todd_usa_gloria_usa_1,Gloria:,Yeah.,,,http://audiorazgovornik.ru/anglijskaya-rech-audio/dialogi-na-anglijskom-yazyke/1777--plans-for-thailand,Todd (USA) - Gloria (USA),,1,http://audiorazgovornik.ru/images/mp3/288thailand.mp3
